title,price,currency,year,mileage,brand,model,trim,body_type,fuel_type,transmission,color,interior_color,cylinders,horsepower,engine_cc,doors,specs_origin,seller_type,location,url,photos_count,has_warranty,source,scraped_at,extraction_method,dealer,publish_date,is_new,listing_id,brand_origin,brand_tier,price_tier,car_age,price_per_age,mileage_per_year,quality_score,price_vs_market,cross_source_flag
New Mercedes-Benz C 200 2026,220999.0,AED,2026.0,0.0,Mercedes-Benz,C 200,,Unknown,Petrol,Automatic,,,,,,,GCC Spec,dealer,,https://www.dubicars.com/2026-mercedes-benz-c-200-amg-premium-eq-boost-15l-rwd-2026-gcc-0km-with-2-years-unlimited-mileage-warranty-official-dealer-925045.html,28,,dubicars,2026-04-28T13:33:01.126387,dom,,,True,925045.0,German,luxury,Premium,0.0,,,83,1.84,Normal
New Mercedes-Benz GLE 450 Coupe 2026,379999.0,AED,2026.0,0.0,Mercedes-Benz,GLE 450 Coupe,,Coupe,Petrol,Automatic,,,,,,,GCC Spec,dealer,,https://www.dubicars.com/2026-mercedes-benz-gle-450-coupe-amg-4matic-eq-boost-2026-gcc-0km-with-2-years-unlimited-mileage-warranty-official-dealer-957551.html,29,,dubicars,2026-04-28T13:32:48.121400,dom,,,True,957551.0,German,luxury,Luxury,0.0,,,88,-0.4,Normal
New Mercedes-Benz GLE 53 AMG Coupe 2026,454999.0,AED,2026.0,0.0,Mercedes-Benz,GLE 53 AMG Coupe,,Coupe,Petrol,Automatic,,,,,,,GCC Spec,dealer,,https://www.dubicars.com/2026-mercedes-benz-gle-53-amg-coupe-4matic-eq-boost-2026-gcc-0km-with-2-years-unlimited-mileage-warranty-official-dealer-955692.html,30,,dubicars,2026-04-28T13:32:48.120599,dom,,,True,955692.0,German,luxury,Luxury,0.0,,,88,0.0,Normal
New Mercedes-Benz GLC Coupe 200 2026,304999.0,AED,2026.0,0.0,Mercedes-Benz,GLC Coupe 200,,Coupe,Petrol,Automatic,,,,,,,GCC Spec,dealer,,https://www.dubicars.com/2026-mercedes-benz-glc-coupe-200-amg-4matic-eq-boost-2026-gcc-0km-with-2-years-unlimited-mileage-warranty-official-dealer-948888.html,27,,dubicars,2026-04-28T13:32:48.119969,dom,,,True,948888.0,German,luxury,Luxury,0.0,,,88,1.42,Normal
New Ferrari Purosangue 2026,2499995.0,AED,2026.0,0.0,Ferrari,Purosangue,,SUV,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2026-ferrari-purosangue-65l-v-12-naturally-aspirated-engine-955926.html,32,,dubicars,2026-04-28T13:34:07.465040,dom,,,True,955926.0,Italian,exotic,Exotic,0.0,,,83,,Normal
New Ferrari 12Cilindri 2026,2349998.0,AED,2026.0,0.0,Ferrari,12Cilindri,,Unknown,Petrol,Automatic,,,,,,,GCC Spec,dealer,,https://www.dubicars.com/2026-ferrari-12cilindri-gcc-spec-under-warranty-966254.html,21,,dubicars,2026-04-28T15:33:39.939706,dom,,,True,966254.0,Italian,exotic,Exotic,0.0,,,83,,Normal
New Mercedes-Benz GLC 300 2026,259000.0,AED,2026.0,10.0,Mercedes-Benz,GLC 300,,Unknown,Petrol,Automatic,,,,,,,Korean Spec,dealer,,https://www.dubicars.com/2026-mercedes-benz-glc-300-glc-300-2026-korean-specification-952344.html,18,,dubicars,2026-04-28T13:29:30.650017,dom,,,True,952344.0,German,luxury,Luxury,0.0,,,83,0.0,Normal
New Mercedes-Benz GLC 300 2026,259000.0,AED,2026.0,11.0,Mercedes-Benz,GLC 300,,Unknown,Petrol,Automatic,,,,,,,Korean Spec,dealer,,https://www.dubicars.com/2026-mercedes-benz-glc-300-glc-300-korean-specification-948240.html,19,,dubicars,2026-04-28T13:29:30.649901,dom,,,True,948240.0,German,luxury,Luxury,0.0,,,83,0.0,Normal
New Mercedes-Benz G 63 AMG 2026,1045000.0,AED,2026.0,0.0,Mercedes-Benz,G 63 AMG,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2026-mercedes-benz-g-63-amg-2026-brand-new-full-interior-carbon-fiber-0-km-full-option-euro-specs-954705.html,20,,dubicars,2026-04-28T13:26:51.876671,dom,,,True,954705.0,German,luxury,Ultra-Luxury,0.0,,,78,0.2,Normal
New Mercedes-Benz Sprinter 2026,399000.0,AED,2026.0,0.0,Mercedes-Benz,Sprinter,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2026-mercedes-benz-sprinter-161-seats-wooden-flooring-original-mercedes-leather-950903.html,14,,dubicars,2026-04-28T13:24:58.169068,dom,,,True,950903.0,German,luxury,Luxury,0.0,,,78,-0.49,Below Market
